systolic hypertension	C0221155
ica stenosis	C0340569
decubitus foot ulcer	C0577716
discharge	CUI-less
jvd	CUI-less
staphylococcus bacteremia	CUI-less
jvp	CUI-less
cavity stones	CUI-less
pleuritic chest pain	C0008033
hematocrit increased	CUI-less
anxiety	C0003469
failure of a-v conduction	CUI-less
respond to light	CUI-less
stool impaction	CUI-less
nodules	C0028259
ventriciular ectopy	C0151636
pseudocyst	C0333161
repiratory failure	C1145670
retained barium	CUI-less
thickening mitral valve chordae	CUI-less
urosepsis	C0149801
leaving against medical advice	CUI-less
non functional left kidney	CUI-less
disruptive	C0012734
left ventricular cavity small	CUI-less
left lower lobe collapse	C0004144
impaired left ventricular ejection fraction	CUI-less
orthostatic	CUI-less
cardioembolic	C1531624
osteophytes	C1956089
cough productive	C0239134
tenderness	C0234233
breathing	CUI-less
nasal congestion	C0027424
lymphoma	C0024299
lateral displacement	CUI-less
stroke	C0038454
enteric	CUI-less
t wave changes	CUI-less
paradoxic septal motion	CUI-less
noncompliance hemodialysis	CUI-less
hypertrophy left ventricular	C0149721
acute intracranial process	CUI-less
tone is spastic	C0026838
hemolytic reaction transfusions	C0221123
balance issues	C0241981
nutritional deficiencies	C0154241
nodule	C0028259
fatigue	C0015672
jugular venous pressure	CUI-less
adenoma	C0001430
aphagia	C0003537
guaiac-positive stool	CUI-less
renal calculi	C0022650
puncture sites	CUI-less
chest discomfort with exertion	C0232288
pea arrest	CUI-less
small air-fluid level	CUI-less
loose stools	C0011991
course bs	CUI-less
right inguinal hernia	C0262617
congested	C0700148
inflammatory process	C0021368
groin hematoma	C0585249
rheumatic heart disease	C0035439
rapid ventricular response	CUI-less
legionella	CUI-less
restless legs	C0035258
neck nontender	CUI-less
thoracic luminal diameter	CUI-less
positive gag	CUI-less
melena	C0025222
wheelchair bound	CUI-less
hypertensive nephropathy	C0848548
inflammation	C0021368
right middle lobe pneumonia	C0578577
gastropathy	C0038354
occluded rca	C1290385
intermittently violent	CUI-less
septic arthritis	C0003874
lower ext edema	C0239340
ischemic pulmonary edema	CUI-less
mucus plugging event	CUI-less
fibroids	C0042133
yeast growth wounds	C0043241
l sided pressure	CUI-less
interatrial septum aneurysmal	C0521533
non-st segment elevation myocardial infarction	C1276061
fracture c-spine	C0262414
extremities clinched together	CUI-less
psoriatic	C0033860
ethanol withdrawal	C0236663
cephalization	CUI-less
decubitus ulcer	C0011127
sob	C0013404
leftward subfalcine shift	CUI-less
foci right iliac ring	CUI-less
multiple suicide attempts	C0038663
heart dilatation	C0264732
guiac positive brown stool	CUI-less
falls	C0000921
lordosis	C0024003
abdomen tenderness left lower quadrant	C2585306
blood fourth ventricles	CUI-less
hypothyroid	C0020676
infectious source	C0021311
left sided infarct	C0585629
drug reaction	C0041755
liver metastases	C0563490
egophony	CUI-less
respiratory improvement	CUI-less
temperature decreased	CUI-less
thrombocytosis	C0836924
brain dead	CUI-less
left axis deviation	CUI-less
facial laceration	C1299982
subdural hematoma	C0018946
loops of bowel distal	CUI-less
sternal drainage	CUI-less
qtc interval	CUI-less
cerebral infarct	C0007785
air-fluid level	CUI-less
tense	CUI-less
chronic gastritis	C0085695
acute issues	CUI-less
bleeding esophagus	C0239293
pain with swallowing	C0221150
right ventricular function	CUI-less
le cellulitis	C0343024
icteric	C0022346
unable to drive	CUI-less
guaiac positive stools	CUI-less
bph	C0005001
trace amount of blood flow	C0232340
primitive neuroectodermal tumor	C0206663
alert moments	CUI-less
tearful	C1536289
gunshot wound	C0043252
white blood count decreased	CUI-less
nauseated	C0027497
tingling	C2242996
swallow delay	CUI-less
wbc low	CUI-less
anuric	C0003460
elevated la pressure	CUI-less
aorta tortuous	CUI-less
c spine fx	C0262414
urinary tract anomoly	C0158698
chronic obstructive pulmonary disease	C0024117
prominent loops of small bowel	CUI-less
injure	C0175677
cycling anabolic steroids	C0338671
passed out	C0312422
rhabdomyolysis	C0035410
noncalcified granuloma	C0018188
heavy vaginal bleeding	CUI-less
leftward mediastinal shift	CUI-less
diastasis	C0036679
injury	C0175677
carotids bruits	CUI-less
right-dominant system	C0345135
std	CUI-less
breath sounds	CUI-less
ste	CUI-less
thyromegaly	C0018021
asthma	C0004096
distal flow	CUI-less
non-bleeding varices	CUI-less
bowel ischemia	C0341424
hilar lymphadenopathy	C0456973
hydroureter	C0521620
difficulty breathing	C0013404
atenolol ovedose	C0573210
against medical advice	CUI-less
ventricular arrythmias	CUI-less
breast implant rupture	C0405491
elevated troponins	CUI-less
type 2 diabetes mellitus	C0011860
polyps cervix	C0007855
diastolic murmur	C0232262
febrile	CUI-less
metastases kidneys	C0153685
pain shoulder blade	C0231655
fluid collections	C0685931
surgical pupils	CUI-less
gagging	CUI-less
niddm	C0011860
nonspecific st-t changes	CUI-less
atrial sensed	CUI-less
afebrile	CUI-less
tachypnea	C0231835
somnolent	C1540721
stones	C0008350
feeling tired	C0849970
crohn's disease	C0010346
ekg changes	CUI-less
hemothorax	C0019123
subcutaneous air	CUI-less
gastric outlet obstruction	C0162651
decreased vibration	CUI-less
slow ventricular response	CUI-less
depressions in v3 through v6	CUI-less
frequency	CUI-less
respiratory arrest	C0162297
st elevations anteriorly	CUI-less
seizures	C0014544
older clotted blood	CUI-less
left right mismatch	C0422885
subependymal blood	CUI-less
microcytic anemia	C0085576
focal wall motion abnormality	CUI-less
cirrhosis of the liver	C0023890
shrunken	CUI-less
penumonia	C0032285
heart block	C0018794
delta ms	CUI-less
atrial defect	C0018817
seizure disorder	C0014544
word finding difficulties	C0454643
hh hernia	C0019284
dvts	C0149871
pleural thickening	C0264545
tongue protrudes midline	CUI-less
lightheadness	C0220870
stoma	C1532681
pancytopenia	C0030312
chest pains	C0008031
flail mitral valve leaflet	CUI-less
new wheezing	C2128973
pancytopenic	C0030312
fibrinous material	CUI-less
worsening creatinine	CUI-less
found down	CUI-less
rul septic emboli	C1955781
mesenteric stranding	CUI-less
cardiac process	CUI-less
strokes	C0038454
thick whitish secreations	CUI-less
stone	C0006736
hypodense lesion	CUI-less
distended stomach	CUI-less
vf arrest	C0750189
inconsistently follows commands	CUI-less
lipase levels	CUI-less
hemorrhagic gastritis	C2010560
could not breathe	CUI-less
hydronephrosis	C0020295
hiv+	C0019693
black stools	C0025222
battle signs	CUI-less
responsive to painful stimulation	CUI-less
biphasis t wave	CUI-less
left atrial abnormality	C0344711
white count	CUI-less
increased total bilirubin	CUI-less
anemia microcytic	C0085576
knee pain	C0231749
liver failure	C0085605
cerebrovascular accidents	C0038454
nicotine withdrawal	C0028047
obstructive jaundice	C0022354
klebsiella pneumonia	C0519030
jvp flat	CUI-less
reversible inferior defect	CUI-less
ugib	C0041909
lung volumes	CUI-less
diverticulitis	C0012813
sirs	C0242966
parotid tumor	C0030581
convulsive seizures	CUI-less
first-degree atrioventricular block	C0085614
diverticular disease	C1510475
slower rate	CUI-less
t wave inversions 3	C0520888
moving all extremities	CUI-less
moving extremities	CUI-less
aortic valve sclerosis	C1455780
rib fractures	C0035522
difficulty swallowing	C0011168
decubitus	C0011127
bilateral effusions	C0747635
alcohol withdrawal symptoms	C0236663
no speech	CUI-less
amnestic	C0002623
weak	C1883552
distressed	CUI-less
interstitial markings	CUI-less
global systolic function	CUI-less
transient ischemic attacks	C0007787
hypoadrenalism	C0001623
tired	C0557875
hurting someone else	CUI-less
displaced fracture	C0585059
acute mi	C0155626
apnea	C0003578
nsvt	C2919575
high blood pressure	C0020538
hematocrit dropped	CUI-less
epileptiform seizures	CUI-less
pin point pupils	CUI-less
anterior st elevation myocardial infarction	C2882090
valvular vegetations	C0750125
thigh lipoma	C0347439
motrin od	C0572145
transient visual loss	C0155003
tachypnic	C0231835
cardiac index supranormal	CUI-less
colonic polyps	C0009376
abdominal wall collection	C0401020
hyperphosphatemia	C0085681
air- fluid levels	CUI-less
ab nd	CUI-less
obese abd	CUI-less
lvef	CUI-less
ulcerative colitis	C0009324
obesity	C0028754
hypertensive bleed	CUI-less
hep c cirrhosis	CUI-less
decreased breath sounds	CUI-less
hyperdynamic lvef	CUI-less
effusion	C0013687
distressed breathing	C0476273
ab nt	CUI-less
repolarization	CUI-less
dilated ivc	C0685740
inguinal hernia	C0019294
flat affect	C0233471
clonus	C0009024
left ventricular hypertrophy	C0149721
chronically infected	C0151317
three vessel disease	C0340285
stent re-occlusion	CUI-less
cad	C1956346
wasting muscles	C0026846
bactrim reaction	C0041755
dysarthria	C0013362
pilonidal cyst	C0031925
guarding	CUI-less
cap	C0694549
extrem warm	CUI-less
benzodiazepine abuse	C0572933
esr elevated	CUI-less
vascular territorial infarcts	CUI-less
bruise on forhead	C0432747
elevated potassium	CUI-less
difficulty speaking	C1527347
cardiac silhouette	CUI-less
joint pains	C0003862
no acute distress	CUI-less
inr decreased	CUI-less
wheezes	C0043144
small vessel disease	C2733158
chest pain	C0008031
viral myocarditis	C0276138
